Event,Detector,WindowType,Domain,Constant,Count
151116-v1,H1,LEGACY_120s,AMP_P2D,Khinchin’s Constant,0
151116-v1,H1,LEGACY_120s,AMP_D2D,Khinchin’s Constant,39
151116-v1,H1,LEGACY_120s,AMP_P2P,Planck Length (m),95
151116-v1,H1,LEGACY_120s,AMP_P2D,Planck Length (m),2055
151116-v1,H1,LEGACY_120s,AMP_D2D,Planck Length (m),91
151116-v1,H1,LEGACY_120s,AMP_P2P,Planck Time (s),95
151116-v1,H1,LEGACY_120s,AMP_P2D,Planck Time (s),2055
151116-v1,H1,LEGACY_120s,AMP_D2D,Planck Time (s),91
151116-v1,H1,LEGACY_120s,AMP_P2P,Planck Mass (kg),95
151116-v1,H1,LEGACY_120s,AMP_P2D,Planck Mass (kg),2055
151116-v1,H1,LEGACY_120s,AMP_D2D,Planck Mass (kg),91
151116-v1,H1,LEGACY_120s,AMP_P2P,Planck Charge (C),95
151116-v1,H1,LEGACY_120s,AMP_P2D,Planck Charge (C),2055
151116-v1,H1,LEGACY_120s,AMP_D2D,Planck Charge (C),91
151116-v1,H1,LEGACY_120s,AMP_P2P,Planck Temperature (K),0
151116-v1,H1,LEGACY_120s,AMP_P2D,Planck Temperature (K),0
151116-v1,H1,LEGACY_120s,AMP_D2D,Planck Temperature (K),0
151116-v1,H1,LEGACY_120s,AMP_P2P,Absolute Zero (K),95
151116-v1,H1,LEGACY_120s,AMP_P2D,Absolute Zero (K),2055
151116-v1,H1,LEGACY_120s,AMP_D2D,Absolute Zero (K),91
