BinIndex,BinCenter,ObsCount,ExpCount,StdCount,ZScore,ChiSquareApprox
220,2086.990720795455,0.0,426.786,20.307934508462445,-21.01572662754824,441.6607656838401
221,2105.706362110267,0.0,427.052,20.887251997330807,-20.445580876535278,418.02177737894505
222,2124.4220034250784,0.0,426.432,20.53984849019097,-20.761204748109378,431.0276225929194
223,2143.1376447398898,0.0,428.152,20.88101759972441,-20.50436469176918,420.4289714130706
224,2161.8532860547016,0.0,426.82,19.900040200964423,-21.448197877475387,460.02519219133967
225,2180.5689273695134,0.0,427.05,21.882584399471668,-19.515519383090357,380.8554967917754
226,2199.2845686843248,0.0,430.222,20.687598120613217,-20.796130971401887,432.4790633797008
227,2218.000209999136,0.0,429.188,20.48376566942709,-20.95259274717157,439.0111428288266
228,2236.715851313948,0.0,426.35,20.412140995005892,-20.887078925445024,436.27006603776965
229,2255.4314926287598,0.0,428.12,20.79455698013304,-20.58807987152708,423.86903279637846
230,2274.147133943571,0.0,427.94,20.830948130125996,-20.543472017056555,422.03424251558573
231,2292.8627752583825,0.0,428.922,19.26935172754911,-22.259285421977975,495.47578749708117
232,2311.5784165731943,0.0,428.006,19.990947051102907,-21.40999117780099,458.38772223351623
233,2330.294057888006,0.0,425.85,20.200779687922925,-21.08086948023077,444.4030580425252
234,2349.0096992028175,0.0,428.544,20.897656902150544,-20.506796623496065,420.52870775742963
235,2367.725340517629,0.0,427.594,20.744183859578563,-20.6127174197099,424.8841194248119
236,2386.4409818324402,0.0,428.884,21.06196913871062,-20.36295833383106,414.6500721053398
237,2405.156623147252,0.0,428.302,21.31456769441969,-20.09433201463113,403.7821791142296
238,2423.872264462064,0.0,428.012,21.160809436314103,-20.226636475705313,409.11682312033264
239,2442.5879057768752,0.0,427.242,19.959645187227153,-21.405290324169016,458.1864538619637
240,2461.3035470916866,0.0,428.004,19.993198443470725,-21.40748020933966,458.28020891326923
241,2480.0191884064984,0.0,429.064,21.41765402652681,-20.03319315311487,401.32882791000844
242,2498.7348297213102,0.0,428.976,21.359668162216387,-20.08345807351191,403.3452881905107
243,2517.4504710361216,0.0,428.616,20.146775027284157,-21.27467048297003,452.61160415895625
244,2536.166112350933,0.0,427.14,20.185945605792163,-21.160267066083655,447.7569023079846
245,2554.881753665745,0.0,426.896,22.235313894793574,-19.19900937849851,368.6019611156737
246,2573.5973949805566,0.0,428.732,20.234924660101907,-21.187724056386028,448.9196506895592
247,2592.313036295368,0.0,428.968,19.46594400485115,-22.03684547192245,485.622558353389
248,2611.0286776101793,0.0,427.808,20.672763143808343,-20.694282473222835,428.2533270815378
249,2629.744318924991,0.0,427.498,20.02153830253809,-21.351905809645352,455.90388170396693
250,2648.459960239803,0.0,427.356,19.886308455819563,-21.4899613444816,461.8184385873134
251,2667.1756015546143,0.0,428.028,20.747993059570845,-20.629850741277114,425.59074160737185
252,2685.8912428694257,0.0,428.912,21.649301512981886,-19.81181701140821,392.5080932935237
253,2704.6068841842375,0.0,427.988,21.078136919566685,-20.3048306229903,412.2861466283246
254,2723.3225254990493,0.0,427.224,20.34959026614541,-20.994231058831247,440.75773775159456
255,2742.0381668138607,0.0,428.082,21.584144087732547,-19.833170046492715,393.3546340930958
256,2760.753808128672,0.0,428.89,21.764418209545596,-19.706017219054093,388.3271146376564
257,2779.4694494434834,0.0,427.828,21.317185930605383,-20.069628392449367,402.7899838110098
258,2798.1850907582952,0.0,428.984,22.49310436556056,-19.071800540650234,363.7335758623465
259,2816.900732073107,0.0,428.066,21.35925195319349,-20.04124493395465,401.651498502763
260,2835.6163733879184,0.0,428.352,19.8221112901729,-21.609807034650327,466.9837600748228
261,2854.33201470273,0.0,428.182,20.50426482466513,-20.882582412071095,436.082248196941
262,2873.0476560175416,0.0,427.218,20.713437088035384,-20.62516221640358,425.3973164529619
263,2891.7632973323534,0.0,429.326,20.650513891910762,-20.79008794876412,432.22775691734716
264,2910.478938647165,0.0,428.528,21.466560413815724,-19.962583280188774,398.5047312184724
265,2929.194579961976,0.0,428.202,20.575451295172112,-20.811305368571656,433.1104311439394
266,2947.910221276788,0.0,429.956,20.975463379863623,-20.498045369179135,420.1698639569262
267,2966.6258625916,0.0,428.86,21.78945616576972,-19.681996500386287,387.38098624121807
268,2985.341503906411,0.0,426.98,21.358642278946483,-19.990971075014457,399.63892452206466
269,3004.0571452212225,0.0,427.294,20.944583166059907,-20.40116991644969,416.2077339598518
270,3022.7727865360343,0.0,427.482,21.065746509440395,-20.292753442581702,411.7958422814115
271,3041.488427850846,0.0,430.184,21.674366057626692,-19.847593182483347,393.92695513735947
272,3060.2040691656575,0.0,429.66,20.318375919349442,-21.14637516824509,447.1691827561726
273,3078.919710480469,0.0,427.98,21.895195820088027,-19.546753704177622,382.0755803717816
274,3097.6353517952807,0.0,427.144,20.002081491684823,-21.35497748959629,456.0350635811643
275,3116.3509931100925,0.0,428.93,21.81680774082221,-19.660529858243823,386.53643430689687
276,3135.066634424904,0.0,428.268,21.000766081264757,-20.392970348927758,415.8732396522467
277,3153.7822757397153,0.0,427.936,19.646473067703518,-21.781823054208964,474.44781556486913
278,3172.4979170545266,0.0,428.498,21.20570668475823,-20.206730498068538,408.3119574215732
279,3191.2135583693384,0.0,426.558,20.08637936513199,-21.23618160575337,450.97540919253777
280,3209.9291996841503,0.0,427.088,20.41019980303965,-20.925223864608846,437.86499378399554
281,3228.6448409989616,0.0,427.586,19.909560617954376,-21.476415688169652,461.23643081105956
282,3247.360482313773,0.0,428.484,20.594701842949792,-20.805545196406104,432.8707109196971
283,3266.076123628585,0.0,429.174,20.79595451043304,-20.637379245308953,425.90142211470874
284,3284.7917649433966,0.0,429.32,21.26446801591801,-20.189548108075055,407.617852808277
285,3303.507406258208,0.0,430.236,20.107021261241034,-21.397301689302797,457.8445195830403
286,3322.2230475730194,0.0,428.062,20.468076509530643,-20.91364080062333,437.38037153749684
287,3340.938688887831,0.0,428.172,20.68319162992018,-20.701447226384975,428.54991726680214
288,3359.654330202643,0.0,427.798,20.625838067821633,-20.740878435742577,430.18403828625145
289,3378.3699715174544,0.0,427.048,19.606572775475065,-21.780859148120683,474.40582523027246
290,3397.0856128322657,0.0,429.138,20.43690181999219,-20.998192572427985,440.9240913087698
291,3415.8012541470775,0.0,427.826,20.6330735470991,-20.734962196659744,429.9386572969087
292,3434.5168954618894,0.0,426.79,18.57648782735854,-22.974741187160504,527.8387326170092
293,3453.2325367767007,0.0,428.804,20.35233608213072,-21.069031008017227,443.9040676167914
294,3471.948178091512,0.0,426.844,20.52402650553736,-20.797283607329096,432.5270054436795
295,3490.663819406324,0.0,428.608,21.103040918313166,-20.310248255646183,412.5061842059788
296,3509.3794607211357,0.0,428.962,21.264537521422845,-20.172646574976977,406.9356698389303
297,3528.095102035947,0.0,428.282,20.81563056935822,-20.575019266072832,423.33141779926825
298,3546.8107433507585,0.0,429.774,20.997688539455986,-20.46768143990837,418.9259835255696
299,3565.5263846655707,2.0,428.678,21.010623884121117,-20.307726336601743,412.40374896230804
