Event,Detector,Constant,Count,RankWithinEvent
170208-v1,L1,Apéry’s Constant (zeta(3)),10,5
170208-v1,L1,Plastic Constant,5,6
170208-v1,L1,Phi Squared,3,7
170208-v1,L1,Khinchin’s Constant,3,8
170208-v1,L1,Pi,0,9
170208-v1,L1,Planck Charge (C),0,10
170208-v1,L1,Planck Constant (J·s),0,11
170208-v1,L1,Planck Length (m),0,12
170208-v1,L1,Planck Mass (kg),0,13
170208-v1,L1,Planck Temperature (K),0,14
170208-v1,L1,Absolute Zero (K),0,15
170208-v1,L1,Parsec (m),0,16
170208-v1,L1,Proton Mass (kg),0,17
170208-v1,L1,Reduced Planck Constant (J·s),0,18
170208-v1,L1,Solar Mass (kg),0,19
170208-v1,L1,Solar Radius (m),0,20
170208-v1,L1,Speed of Light (m/s),0,21
170208-v1,L1,Square Root of 2,0,22
170208-v1,L1,Square Root of 3,0,23
170208-v1,L1,Square Root of 5,0,24
170208-v1,L1,Tau Mass (kg),0,25
170208-v1,L1,Planck Time (s),0,26
170208-v1,L1,Hubble Constant (km/s/Mpc),0,27
170208-v1,L1,Neutron Mass (kg),0,28
170208-v1,L1,Muon Mass (kg),0,29
170208-v1,L1,Astronomical Unit (m),0,30
170208-v1,L1,Avogadro Constant (1/mol),0,31
170208-v1,L1,Baryon-to-Photon Ratio,0,32
170208-v1,L1,Boltzmann Constant (J/K),0,33
170208-v1,L1,Cosmic Microwave Background Temp (K),0,34
170208-v1,L1,Coulomb Constant (N m^2 C^-2),0,35
170208-v1,L1,Critical Density (kg/m^3),0,36
170208-v1,L1,Earth Mass (kg),0,37
170208-v1,L1,Earth Radius (m),0,38
170208-v1,L1,Electron Mass (kg),0,39
170208-v1,L1,Elementary Charge (C),0,40
170208-v1,L1,Euler’s Number,0,41
170208-v1,L1,Feigenbaum Alpha,0,42
170208-v1,L1,Feigenbaum Delta,0,43
170208-v1,L1,Fine-Structure Constant,0,44
170208-v1,L1,Gas Constant R (J/(mol·K)),0,45
170208-v1,L1,Gravitational Constant (m^3 kg^-1 s^-2),0,46
170208-v1,L1,Two Pi,0,47
170219-v1,H1,Catalan’s Constant,65,1
170219-v1,H1,Apéry’s Constant (zeta(3)),43,2
170219-v1,H1,Golden Ratio Conjugate,33,3
170219-v1,H1,Golden Ratio,28,4
170219-v1,H1,Euler–Mascheroni Constant,28,5
170219-v1,H1,Absolute Zero (K),11,6
170219-v1,H1,Planck Mass (kg),11,7
170219-v1,H1,Planck Constant (J·s),11,8
170219-v1,H1,Planck Charge (C),11,9
170219-v1,H1,Planck Time (s),11,10
170219-v1,H1,Neutron Mass (kg),11,11
170219-v1,H1,Muon Mass (kg),11,12
170219-v1,H1,Gravitational Constant (m^3 kg^-1 s^-2),11,13
170219-v1,H1,Fine-Structure Constant,11,14
170219-v1,H1,Proton Mass (kg),11,15
170219-v1,H1,Reduced Planck Constant (J·s),11,16
170219-v1,H1,Planck Length (m),11,17
170219-v1,H1,Boltzmann Constant (J/K),11,18
170219-v1,H1,Electron Mass (kg),11,19
170219-v1,H1,Tau Mass (kg),11,20
170219-v1,H1,Critical Density (kg/m^3),11,21
170219-v1,H1,Baryon-to-Photon Ratio,11,22
170219-v1,H1,Elementary Charge (C),11,23
170219-v1,H1,Plastic Constant,5,24
170219-v1,H1,Phi Squared,1,25
170219-v1,H1,Khinchin’s Constant,1,26
170219-v1,H1,Square Root of 3,1,27
170219-v1,H1,Square Root of 2,1,28
170219-v1,H1,Speed of Light (m/s),0,29
170219-v1,H1,Planck Temperature (K),0,30
170219-v1,H1,Square Root of 5,0,31
170219-v1,H1,Solar Radius (m),0,32
170219-v1,H1,Solar Mass (kg),0,33
